mutual,tweet1,type1,tweet2,type2,tweet3,type3,tweet4,type4,tweet5,type5,tweet6,type6,tweet7,type7,tweet8,type8,tweet9,type9,tweet10,type10,rated,p1,c1,p2,c2,p3,c3,p4,c4,p5,c5
SemanticsGrp,Retweet if you're a principled conservative who will never support a Republican Senator who votes to acquit Trump. Let's show them we're watching.,retweet,"“Haley is in the same position as all these other Republicans who jumped on the Trump Train,” said Chip Felkel, a longtime South Carolina GOP strategist. “Some of this shit, you can never get clean from it. People will remember.”",tweet,Donald Trump running for President again? I was the one walking over broken glass at 4 a.m. after the Jan. 6th insurrection with pages carrying the mahogany boxes of electoral ballots. Democracy prevailed that day. We will not go backwards and descend into his chaos again.,retweet,Why the Whole Trump-Clinton Election Could Probably Just Be Held in Pennsylvania,tweet,President Trump Makes Special Long-Distance Call to Record Breaking American Astronaut via NASA,tweet,Brutal Hillary Clinton montage uses GOP rivals' attacks on Donald Trump against him via,tweet,Sounding Code Red: Electing the Trump Resistance via @NYTimes,tweet,What Trump's been saying about the judge in his Trump U case is disgusting. Just ask Republicans.,retweet,"I think if the Trump-inspired terrorists repeat their attacks on America next weekend, then failing a strong disavowal from Trump, they may very well guarantee a guilty verdict for the imminent impeachment.",tweet,A shameless family of thieves. Melania Trump’s Speech steals from Michelle Obama’s in 2008,tweet,0,,,,,,,,,,
Serendi2001,"Please rt. A group of students in Louisiana were told they were going to a college fair and were taken to an anti-LGBTQ+ church service. The girls were told that they should forgive their abusers, the boys were forced to do push-ups in the smoldering heat with no water. Trans +",retweet,"announcing ticket sales 4 days before the date, only 2 shows announced in america so far after 9 months of waiting, multiple articles saying they would tour 6-7 cities AND multiple countries, 127 touring 4 countries in EIGHT months 😭 this is the messiest tour",retweet,"If the US is really worried about variants and the spread of COVID through travel, it should require negative tests for all travelers, no matter where they come from, and require masks. Targeting single countries with bans and requirements is ineffective and racist.",retweet,TW: Infant Mortality A pregnant Black Women is in URGENT need after contracting COVID. She’s already high risk and needs extra time to heal but doesn’t have the funds to take time off work. PLEASE DO NOT IGNORE THIS IF YOU HAVE A HEART. BW have high pregnancy mortality rates.,retweet,sometimes people do not answer by raising their hand because they are afraid of sounding stupid or speaking incorrectly or social anxiety . small group discussions may work better for people to speak their opinions,retweet,"Those saying that walking out of a whitecoat ceremony to protest a vocally anti-abortion speaker is ""unprofessional"" are the same people who help anti-abortion people get and maintain positions of power. ""Professionalism"" maintains status quo which never serves the oppressed.",retweet,ICE is on the scene of a shooting that took place in a heavily Hispanic school so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive. What a fucking country.,retweet,40% of teen pregnancies in 15 y/o girls involve a fathering man who is 20-29. It is never lost on me that the conversations surrounding teen pregnancy are always about the promiscuity of teenage girls and not the violence of older men,retweet,"Over $300,000 was raised in 1 day for the 17 yr old sex trafficking victim ordered to pay 150,000 to the family of the man who sexually violated her. I bet the Iowa judge responsible for that sentence is shooketh. Their aim was to criminalize &amp; stigmatize her 4 life. They failed.",retweet,"I think the funniest thing about this tweet is the idea that if Black people were nicer, we’d get reparations. The fact that we havent blown up the Royal Palace, the White House or any other symbols of our oppressors is extremely nice of us, we are VERY nice to you people.",retweet,0,,,,,,,,,,
SheabuttrPapi,I already know Biden and Dems are cooked in November. I truly do not care about Republicans taking over either chamber of Congress because it’s bound to happen with how the economy is doing. My focus is on state and local politics.,tweet,This honestly has started long before the pandemic. As soon as Trump was elected so in 2017 I started seeing more states with Republican governors feel empowered to restrict abortion. Once this ruling is official this will empower them even more.,quote,I’m tired of people saying Black people don’t know how to vote when we BAILED out Democrats during the midterm elections. There would be no democratic majority in the Senate if it wasn’t for Black people in Georgia!,tweet,Hmm a white woman saying this as if most white women didn’t vote for Trump in 2016 AND 2020. I think you should talk to your community that routinely votes against their own interests.,quote,While this isn’t wrong that Trump election still has so many consequences. Checks and Balances exist in this country. Congress had countless opportunities to codify Roe V Wade yet they didn’t.,quote,There were quite a bit of Republicans complaining about the shortage and blaming Biden yet only 12 of them voted yes?,quote,"You can register to vote on Election Day in the following states: CA, CO, CT, HI, IA, ID, IL, MD, ME, MI, MN, MT, NH, NM, NV, UT, VA, VT, WA, WI, WY + Washington, D.C. (and ND does not require voter reg)",retweet,I’m not listening to any white women shaming third party voters in 2016. Most of your demographic voted for Trump in 2016 and 2020. Talk to your gals!,tweet,We vote for Dems and they apply ZERO pressure to get things passed. The John Lewis Voting Rights Act is just sitting in Congress. Wait too long and watch when Republicans pass their own voter suppression laws in the new Congress real quick!,reply,"The woo me I already paid off my debt is crazy. Ideally Biden would have reduced interest rates to zero but that’s beyond his scope as President, only Congress can do that. Senate Republicans and Manchin would NEVER let a bill pass beyond the house.",tweet,0,,,,,,,,,,
SickPuppies,@POTUS And republicans actually believe that an appeal in the senate magically means Trump is no longer impeached...like magic..😂,reply,"Our response to Mr. Trump's inauguration has to be to fight back for economic, social, environmental &amp; racial justice. We're not giving up!",retweet,"Lone cyclist responds to @POTUS motorcade shortly after departing Trump National Golf Club in Sterling, Va. (Photo: /)",retweet,"Stop using Trump's framing about the ""opening the economy."" Here's what he is really doing: - going against the advice of medical experts and local officials - forcing workers to choose between their health and a paycheck - Repealing CDC guidelines with no plan",retweet,"Obama decided last year to let trans people serve openly, effective July 1. Trump delayed the implementation, now reversing the policy.",retweet,"I hear you, Sanders supporters who plan to vote Trump. One time I asked for Coke but they only had Pepsi, so I set fire to my head.",retweet,"My brother hates Obama yet he's so pro-Trump, he posted a video from 2008 of him campainging against her. Makes no sense.",tweet,"""Trump 2020. Make the liberals cry again."" Oh whoops. Seems like your car mysteriously caught fire there, bud.",tweet,How Donald Trump handles protesters vs how Barack Obama handles protesters. via @YouTube,retweet,"@danpfeiffer Why Trump wants the country to ""reopen"" ASAP: His properties are losing $1 million a day. He hasn't golfed for five weeks. He hasn't held a rally since March 2.",retweet,0,,,,,,,,,,
Side420Dark,There is a bill in the Senate that would stop Trump's policy of separating immigrant children from their parents at the border. There are currently 43 Democratic co-sponsors and ZERO Republicans. Every single Senator who is not a sponsor needs to confronted about it Let's go,retweet,Donald Trump and Republicans just celebrated voting to let thousands of Americans die so that billionaires get tax breaks. Think about that.,retweet,"Biden, slamming Trump's bogus claims of fraud and GOP lawmakers who backed Texas lawsuit, notes his election win survived Supreme Court challenge: ""Now it's time to turn the page... to unite, to heal.""",retweet,Images of members of Congress who have enabled Trump during this pandemic getting vaccinated before Americans receive covid relief shows just how deformed Washington has become.,retweet,"Wait a minute, wait a minute--did Trump just basically endorse an alleged child molester because he's a conservative and will vote for his tax bill?",retweet,"""If public opinion does not demand change in Congress, it will not change."" - President Obama on...",tweet,"Okay, Republicans. How much longer are you going to let this farcical “presidency” continue? At a time of such political, economic, and geo-strategic turbulence—both nationally and globally—are you waiting for a catastrophe to happen before acting? Disaster looms!",retweet,"All politics aside, the Trump administration reminds me of that Tom Arnould movie, THE STUPIDS. Really, you guys, this is embarrassing.",retweet,Donald Trump has spent years peddling lies about President Obama. And that didn't stop today.,retweet,"I hope our Government will condemn far-right retweets by Donald Trump. They are abhorrent, dangerous and a threat to our society.",retweet,0,,,,,,,,,,
Sneakyone75,"This is why Democrats try so hard to portray Republicans as people who want to eliminate all LGBT people, remove all taxes ever, and actual nazis. Because they want the ""well at least they're not nazis"" vote since they can't get the actual ""i trust them to do what they say"" vote",reply,"Assuming you're not American because yes. Haven't you seen those posts from people saying ""I voted for Biden because Republicans want me dead""?",reply,"Honestly it seems like people forget that the Republican party didn't even exist until around 80 years after the country was established. A vote for a party that isn't Dem or GOP is just that. Nothing more, nothing less.",reply,Those are the kind of people who said they would move to Canada if trump got elected but didn't.,reply,"I'm sorry, could you provide a source for that? In the last 4 years I don't remember Trump installing a dictatorship or creating concentration camps (the border camps existed under Obama, so no that doesn't count)",tweet,I really hope so. I keep seeing people I thought were reasonable unironically state that JK Rowling directly kills trans people by existing. It's a repeat of Trump hysteria during that election and it's tiresome.,reply,Kind of reminds me of trump getting elected tbh. People crying and shitting themselves over a Harry Potter game wasn't something I expected tbh,reply,"Saying One Piece is anti-government is projection at best. Luffy beats up anyone who hurts his friends. Regardless if they're marines or other pirates. Not to mention times they help the government of the island or work with marines (Alabasta, Punk Hazard, Zou, etc).",reply,Unfortunately being right isn't enough for people to not state their disapproval of Trump any time he says something.,reply,I'd say it's more like Republicans have standards that aren't good and Democrats have no standards at all.,reply,0,,,,,,,,,,
SoCalValleyGal,"We now live in a country where most the Republicans and Democrats in Washington D.C. care more about Ukraine than the USA. These out-of-touch neocon warmongers have no idea how pissed off the American people are over their Ukraine first, America last bullshit.",retweet,"Biden: liar, pedophilic tendencies, horrible father, cheats on his wife, cares only about Ukraine, will not be re-elected President Trump: loves America, great father, excellent president, big heart, will be president again",reply,"Are you crazy? Of you are, you’re a leftist. The biggest story is the FBI and the MEDUA covered up the Hunter Biden story, because THEY KNEW, Biden wouldn’t win. The election was stolen. Trump was right AGAIN.",tweet,"No. Biden goes to continue the Ukraine grift, Trump goes to Ohio to see what can be done. Biden does not care about Americans",reply,@joncoopertweets Not a threat. Do you even know what a threat is? Here’s a real threat. Biden attempting to harm 70% of the country because they like Trump.,reply,"The Democrats have settled on their closing argument: ""Vote for us so that we can castrate children, use your money to pay for abortions, and put pornography in the schools. If you don't vote for us then you are a Nazi and democracy will die."" Fascinating political strategy.",retweet,One thing is clear: Republicans in congress are more aligned with Democrats than their voters.,retweet,@GeraldoRivera Be quiet. At least half the country cares. Stop telling us what to think or believe. There is no way they can go after Trump now without going after Biden. None.,reply,"He was/is hated, but it has zero to do with him being 1/2 black. Trump had more Hispanics and blacks vote for him then any republican nominee before him. He is anything but racist. Obama was the biggest racist President in history",reply,@catturd2 @POTUS Donald Trump did make our lives better. America first is the most important Political statement anyone can make. The Biden regime believes America last. Everything in America is last to him he’s done,reply,0,,,,,,,,,,
Sobyvee,"The GOP blamed Obama when 4 Americans died in Benghazi They were outraged about a death toll of 4. The pandemic death toll? 108,000. The GOP response? Endless praise for Trump. Craven assholes. #NoJusticeNoPeace Weather Underground Glenn Beck ATTACK AND DETHRONE GOD Lady G",retweet,"@thebradfordfile @realDonaldTrump if it was voting fraud, as claimed, why didn't democrats win more local and state seats? republicans still won most of those. so that claim isn't even logical.",reply,"I'm a moderate, [slightly leaning liberal], but not a Democrat. I don't personally think trump is the cause of racism; that's part of many individuals culture, and has been so for a very long time, even if the individual doesn't realize it",reply,"yesterday Congress Republicans issued a war against women. Is there a way to know who asked to overturn wade vs rowe, for ease in voting them out next term?",reply,@thebradfordfile @realDonaldTrump why would Biden need to cheat? I can't imagine it being possible for more than 15-20% of the US population to vote for trump. We've already seen him fail at everything for four years.,reply,"it's frustrating because I, too, would rather vote green. I don't like the idea that my vote is more necessary to take away from opposition, than it is to empower a party that I'm more aligned with. I don't like biden, but I have more dislike for trump",tweet,"yea, well, you were a kid when all this occurred. perhaps if people your age started getting into some understanding of politics and voted in every election instead of just presidential ones, you might one day make it better. until then, that zone is a piece of shit.",reply,"people are shamed socially when they talk about voting for a third party, yet the shamers themselves probably can't define what their party definitions are. wouldn't be at all surprised if more than half of them supported a party that had nothing to do with them",reply,"@realDonaldTrump if people regularly voted every single time they had a local or state election, their votes would have greater impact, instead of only voting during presidential elections. but if the mainline media outlets like the local news (which people with netflix don't watch anyway..)",reply,"in the 2016 election I voted green (and usually do so in local, too) mostly to give a bit more push towards the green party, even though I know they aren't likely to win. I've been yelled at about how a vote for neither main party is a vote for the one that ends up winning",reply,0,,,,,,,,,,
Sociopathlete,"@jaketapper As a libertarian, I can't decide who is worse. The Republicans who are blindly following the Orange Man and justifying his comments &amp; actions or The Democrats who ignore the stupid comments &amp; actions of members of their own party by claiming that they're not as bad as Trump.🤣",reply,"Looking into it is one thing. How many challenges has Trump actually won? If the GOP doesn't vote in January as some kind of protest, there will be 2 more Democratic senators voted in. And a 50-50 deadlock in the Senate is broken by VP Harris. Not voting is bad strategy.",tweet,"Desantis. Not even close. I don't think Trump is electable, for one. If he wasn't able to win as an incumbent against Biden, he isn't going to win in 2024. He's also just too divisive at this point. He won't get anything done, short of enacting executive orders.",reply,"I would hope that Republicans and Democrats are also anti-violence, so I'm not sure what your point is? Libertarians are about self-reliance, though. Owning a firearm for self-defense is part of self-reliance, especially now after you've got dems calling for defunding police.🙄",tweet,"This isn't a new thing. 🙄 H. Clinton was elected senator after only being MARRIED to a president for 8 years. Obama was elected president after being a JUNIOR senator in Illinois for less than 1 term. Trump was elected after only being a PT businessman &amp; reality TV ""star.""",reply,"Yep. Even if you recognize the craziness and instability of the Trump years, it's still ok to be unhappy with the way our country is currently being governed.🙄 Biden is obviously cognitively impaired and the Dems are spending our country's money like it's monopoly money.",reply,"@KamalaHarris Nope. I didn't vote for Trump either time. I voted 3rd party. I'm not a fan of Trump, Clinton or Biden. But that's obviously your go-to defense - ""But Trump did something that was far worse."" Trump has nothing to do with Kamala being an actual political whore. Both are awful.",reply,"Dear God, anyone is better than Trump. I still can't believe that he was elected in 2016. I voted 3rd party in the last 2 pres elections, because I just couldn't convince myself to vote for either of the major 2 candidates. The U.S. is just a hot mess right now...",reply,"I'm sure that as much as he hates Trump, Romney realizes that his support will evaporate among his Mormon constituency in Utah if he opposes installing another conservative justice prior to the election. It's not exactly complicated...",reply,"This! I can't believe the number of people who rip on all of the people who supported Trump (not without merit) and then completely ignore the fact that they themselves voted for Biden. Come on. We replaced a narcissistic reality TV ""star"" with a cognitively disabled old man.🤣",reply,0,,,,,,,,,,
SopanDeb,"Donald Trump knows he’s losing, and is looking for any excuse to falsely claim election fraud. The best way to make it impossible for Trump to play these dangerous games is to help Joe Biden win in a landslide. VOTE. Make sure your friends and family vote.",retweet,The moral consequence of electing Trump as President is something that we as Americans are going to have to reckon with for a long time.,retweet,Trump's constant comparison of his handling of COVID-19 to Obama's handling of H1N1 in 2009 is baffling to me. Every voting age adult alive today remembers 2009. They know it was nowhere near as bad. Is anyone fooled by this?,tweet,"I just need to note now that the #AlabamaSenateElection has been called, if a major US Mayor, a Democrat, like of San Francisco had died as he did today, President GWBush would have issued a statement expressing condolences. Trump did not offer such today.",retweet,Democrats cheering ex-Republican billionaire Michael Bloomberg as he mocks Trump as a bad entrepreneur. It's that kind of year,retweet,"In other countries, Trump's threats against Clinton would be early warning indicators of political instability or electoral violence.",retweet,"The party of Lincoln once stood on granite-solid ground — promoting free minds, free markets and free people — but no longer. The GOP is now a party of misinformation and false grievances, of protectionism and nativism, of election subversion and anti-democratic sentiment.",retweet,"Okay, repeat after me: ""I prefer some of the Democratic candidates to others, but every single one of them is a thousand times better than Donald Trump, &amp; whichever Democratic candidate becomes the nominee, I will bust my butt to help that candidate get elected."" Thanks.",retweet,"One of many ironies here is that this speech is a million miles away from Trump's dark ""American Carnage"" speech four years ago. And yet there is ACTUAL American carnage right now. Nearly half a million dead. The Capitol ransacked. Yet this speech could not be more different.",retweet,"WASHINGTON (AP) — Democrat Mikulski is 34th senator to support #Iran nuke deal, ensuring landmark Obama victory",retweet,0,,,,,,,,,,
SpacelandLA,Member when the government made Microsoft give money to a failing company like Apple so it wouldnt be a monopoly? LMK how APPL is doing. No one put money into it and we have no more Apple Computers right????,reply,Being in crypto for quite some time and holding XRP I have been follwing the SEC v Ripple lawsuit. Judge Sarah Netburn is actually holding up US law while almost mocking the SEC. She is a true American hero and I think we will get clarity on all crypto soon.,tweet,"Oxford Demographics According to the most recent ACS, the racial composition of Oxfordwas: White: 96.19%Two or more races: 2.03%Asian: 1.21%Black or African American: 0.56%Native American: 0.00%Native Hawaiian or Pacific Islander: 0.00%Other race: 0.00%",reply,This is what is amazing with . Even their socials make sure cast members are recognized. And the cast members are what make Epcot (center) authentic. Thanks,quote,"so like i understsnd telling people in the heat, drunk people, people 3 hrs into a show but for fans to yell at the artist every slow part, between songs, and while they are sipping water to STAY HYDRATED I needed to know if this was a thing.",reply,"I belueve Dave Grohl played drums in a little known band called Nirvana before he started fighting foo. They should see if he can. Ending my sarcasm. But it WOULD be cool to see Dave drum on the next tour, use a headset to sing, and get someone to play guitar.",reply,"Total bull shit. Those of us that trusted get no vote and basically, if this goes through, lose most of our FLR. Class action lawsuit if this passes 100%.",reply,again so Tebow should quit while a ton of others are just as bad? Use BP and you can check equally as bad players who have done this for decades. Braxton Davidson was a 1st rounder and sub 200 in like A+. Pick a real fight next time.,reply,"In Los Angeles half our restaurants are tip free now and you get yelled at tipping. I also waited tables here 15 plus years ago and only Americans tip. Any tourist never tipped as it is only here we tip. So dont say everybody, say USA natives.",reply,Its not until you look into her stoner ass glazed eyes that you realize she would be on social security if she was a human. But honestly she has taught me how to be caring and a better person.,reply,0,,,,,,,,,,
StBamse,"So far you've had to backpedal on ""no trans people murdered in the UK in 2022"", pretend that every conservative against women voting doesn't really count, and shown you weren't aware that anti-suffrage groups were led by women. Just take the L and go.",reply,"If there is any election takeaway, it's that being anti-trans is not the path to victory for the GOP. Focusing on forcible misgendering in schools, taking away healthcare, banning bathrooms does not lead to victory, especially in local races. GOP: Choose hate at your own peril.",retweet,"Greg Ellis is a Trump-supporting anti feminist who distributed revenge porn of his wife, had a restraining order for domestic violence, and is now banned from seeing his children. He voiced 12 characters in Hogwarts Legacy.",retweet,"You can register to vote on Election Day in the following states: CA, CO, CT, HI, IA, ID, IL, MD, ME, MI, MN, MT, NH, NM, NV, UT, VA, VT, WA, WI, WY + Washington, D.C. (and ND does not require voter reg)",retweet,Human Rights Watch and InterAct both come out against anti-trans bills for harming intersex youth. ALL anti-trans medical care bills passed by Republicans include provisions that allow for noncensunsual gender confirming surgery on intersex infants.,retweet,"In Kansas, they tried to pass a bill to curtail transgender rights. It was vetoed by their democratic governor. They attempted to override the veto, and fell short by one vote. One local house race made the difference for thousands of trans people. Go vote y’all.",retweet,I don't care about national politics and whether you want to participate in them or not - our national political system is broken and gridlocked anyway. But bills like this are why you HAVE to turn out and vote in your local elections folks. Please vote.,retweet,"I know that voting is a touchy subject - it is not NEARLY enough in today's society. But right now all over the country, your vote can make an impact on local laws. School boards and state reps are where the fight for trans rights will happen. Don't let them win.",retweet,"Your reminder that multi-hour voter lines is voter suppression, many of these people have jobs that they can't take off 2 hours for, election day is still not a federal holiday, laws don't exist to mandate employers let people vote, and this is profoundly wrong.",retweet,"If you are in Ohio, CALL YOUR STATE SENATOR NOW! Tell them to vote NO on HB151, which will ban all trans youth from sports in Ohio if it passes!",retweet,0,,,,,,,,,,
Starbucks,Retweet if you're a principled conservative who will never support a Republican Senator who votes to acquit Trump. Let's show them we're watching.,retweet,"“Haley is in the same position as all these other Republicans who jumped on the Trump Train,” said Chip Felkel, a longtime South Carolina GOP strategist. “Some of this shit, you can never get clean from it. People will remember.”",tweet,Donald Trump running for President again? I was the one walking over broken glass at 4 a.m. after the Jan. 6th insurrection with pages carrying the mahogany boxes of electoral ballots. Democracy prevailed that day. We will not go backwards and descend into his chaos again.,retweet,Why the Whole Trump-Clinton Election Could Probably Just Be Held in Pennsylvania,tweet,President Trump Makes Special Long-Distance Call to Record Breaking American Astronaut via NASA,tweet,Brutal Hillary Clinton montage uses GOP rivals' attacks on Donald Trump against him via,tweet,Sounding Code Red: Electing the Trump Resistance via @NYTimes,tweet,What Trump's been saying about the judge in his Trump U case is disgusting. Just ask Republicans.,retweet,"I think if the Trump-inspired terrorists repeat their attacks on America next weekend, then failing a strong disavowal from Trump, they may very well guarantee a guilty verdict for the imminent impeachment.",tweet,A shameless family of thieves. Melania Trump’s Speech steals from Michelle Obama’s in 2008,tweet,0,,,,,,,,,,
TG22110,"I'm not saying I'm unhappy Republicans are finally turning against Trump, all I'm saying is they only did it after he already lost the House, the Presidency, the Senate, 350,000 lives, and any moral standing America had in the world.",retweet,The Republicans are ruthless and rampant! They fight as a team! FoxNews! OAN! NEWSMAX! SCOTUS! THE SENATE! MANCHIN! TRUMP etc.. As a Democrat I want the entire Democratic Party to fight as a team! NOT JUST ASKING PRESIDENT BIDEN ALONE TO FIGHT!#wtpBLUE #DemVoice1,retweet,Democrats voted for Biden in record numbers. His “Senate Majority” is impotent because of Manchin &amp; Sinema. Biden stepped up &amp; took Trump down because he loves his country. Stop bashing him. All you will do is elect Republicans &amp; help end Democracy. Fucking Stop It. #FreshWords,retweet,"This is in Kentucky: The state now has 1,676,743 registered Democrats compared to 1,511,821 Republicans. McConnell 1.2 million votes McGrath 816,000 Trump. 1.3 million Biden. 772,000 I DO NOT BELIEVE THAT HALF OF THE DEMOCRATS DIDN'T VOTE, DO YOU?",retweet,"NEVER FORGET: 197 House Republicans voted ""Nay"" when it came time to impeach Trump for inciting an insurrection. 43 Republican Senators acquitted him. They all knew! #FreshResists",retweet,"If you were horrified by what you saw on January 6, 2021 understand that 35 Senate Republicans voted against a bipartisan commission to investigate that day. Flipping PA blue + protecting our Democratic majority has *never* been more urgent.",retweet,Republicans who voted against President Biden’s infrastructure plan are now begging for funding for projects. Please watch!,retweet,"BREAKING: Trump and Republicans panic as a new poll from the conservative Rasmussen Reports finds that President Biden’s approval rating has skyrocketed by a whopping 11% in a single month, from 36% up to 47%, after multiple legislative wins. RT IF YOU SUPPORT PRESIDENT BIDEN!",retweet,8 Republican Senators who are women voted against equal pay for equal work! Republicans just don’t make any sense!,retweet,"TO: ALL NETWORKS, CABLE STATIONS, PODCASTERS, ANYONE WITH A PLATFORM-Don't cover Trump on the day that we restore the republic with the inauguration of President-elect Joe Biden. Trump is planning a mass rally at the Andrews AF Base the morning of the Inauguration. Ignore him.",retweet,0,,,,,,,,,,
TeaPainUSA,"52% of Republicans say they would support postponing the 2020 election if trump wanted to, according to washington post poll. These people are anti American, anti democracy and unreachable. They have no consistent values. Focus on the 48% and non republicans.",retweet,"I am voting YES on a clean bill to end this shutdown and put 800,000 federal employees back to work. Republicans unanimously supported this plan in December—but now they’re playing politics with people’s lives. Enough. Let’s re-open the government today.",retweet,"Today, Trump was asked about Kim Jong-Un’s history of executing political opponents. Trump defended Kim by saying he was “a tough guy.” Trump can’t conceal his admiration for despots, or his disdain for democratic leaders like Justin Trudeau. And still, Republicans stay silent.",retweet,John McCain is a dying American Republican Hero and he is using his time left on Earth standing up against President Trump. He has no other reason to keep fighting Trump other than the fact that he knows Trump is bad for America. Think about that for a minute.,retweet,How do you speak in politics? By voting! That's true for citizens in elections. And it's true for senators who claim to be deeply troubled by President Trump but provide no meaningful check on his power.,retweet,The media covers Trump’s rallies &amp; gives him free airtime. The media is reluctant to call Trump’s lies what they are—LIES. The media is hesitant to call RussiaGate what it is—a CONSPIRACY. The media is not anti-Trump. The media helped elect him &amp; is helping him stay in power.,retweet,"In light @POTUS Trump revoking clearance of &amp; target his political opponents - posting this handy chart from Levitsky &amp; Ziblatt important book “How Democracies Die” p 23. Check out block 2, Trump does something most days advance himself &amp; erode American democracy",retweet,"If Obama was caught on tape committin' a felony as tonight's tape proves, Democrats would call for his resignation by mornin'. Trump is lucky to be surrounded by a GOP congress as corrupt and immoral as he is. We're gonna vote every one of these scoundrels out in Nov!",retweet,Former Director of National Intelligence James Clapper has unequivocally stated that Russia’s attack on the 2016 presidential election helped elect Donald Trump. America has an illegitimate president who is tearing down Democracy. ALL HANDS ON DECK!,retweet,"The GOP controls 68 of the 72 seats deemed competitive this election. If Democrats turn out in big numbers — IF —and flip at least 24 seats blue, we retake control of the House. That is how we STOP TRUMP. Got the math? Great. Early voting has begun. Let’s do this. #BlueWave",retweet,0,,,,,,,,,,
Tellwut,New Hampshire state lawmakers voted against a bill crafted by fourth graders to make the New Hampshire State...,tweet,BREAKING: We did it! The Senate just voted to protect #NetNeutrality. But our work isn't over. It's time to take the vote to the House.,retweet,BIC has donated 2.5 Million writing instruments to schools in need during the company's 2022 Global Education Week. Help them reach their goal of 3M donations by liking or re-sharing their social post! #BICCauseWeCare #bicpartner,tweet,Just saw Liliac is one of the bands videos submitted for Jovi tour They are awesome!!! Wish we could vote,reply,"I just earned 40 Swag Bucks for completing the Survey on the Economy, Personality, and Attitudes task on...",tweet,President Obama suggested that it is time to make voting mandatory. Do you think that voting should be mandatory?,tweet,Project # 2 - Social Issues for the Mad Men DVD/Blu-ray Contest has arrived!,retweet,I just took action &amp; told my members of Congress to #LiftTheBan on U.S. crude oil exports! Join me:,tweet,"Strap on your fanny packs, your fave 90s drink is turning 30! 🥳 Post a pic of you from the 90s using #ShowUsYour90s + #PepsiSweepstakes for a chance to be 1 of 300 to win Crystal Pepsi. No Purch. Nec. Ends 1/6/22, 9am. 50 US/DC res only, 18+ (19+ in AL/NE). Not Avail. Retail",retweet,69% of U.S. parents believe their kids need a college degree or more to achieve the American Dream. Agree or...,tweet,0,,,,,,,,,,
TexasAFLCIO,"Don’t know who needs to hear this, but losing to Obama’s Vice President will do wonders for Trump’s Obama inferiority complex.",retweet,Texas has never been a Republican state; it's been a nonvoting one. About time we changed that. #vote #Primaries2018 #Election2018,quote,The blowing roof off #SD14 Democratic Convention. Sometimes politics is a beautiful thing.,retweet,Trump is now just saying all the names of countries that he's heard of. #Debates2016,retweet,More than 30 progressive groups today called for Senate to reject David Whitley as TX Secretary of State amid bogus state claims of mass illegal voting. Some had never opposed any nomination before. ⁦⁩ explains opposition. #1u #WorkersDefense,retweet,"Walked to City Hall and back to vote in my district’s ACC run-off. Remember, these small off-season races may not be as popular and handsome as Beto, but they matter. You matter. Your vote matters. #ivoted #election #ATX",tweet,"Holy shit. I'm just a progressive, 28-year-old rules nerd that got my start registering voters on campus. And the #TDP20 Youth Caucus just elected me to a 4-year term on the Democratic National Committee.",retweet,"Trump: ""I was in Little Haiti in Florida."" Does he know where the real Haiti is? #Debate #debate2016 #debatenight",retweet,The has endorsed total badass in her bid to go to the Texas Senate. Fantastic decision on their part.,retweet,"With @realDonaldTrump in Austin, likens sham Trump economic plan to his pro wrestling foray. #TxAFL-CIO",retweet,0,,,,,,,,,,
ThanksCancer,"BREAKING: Senate Democrats just passed the American Rescue Plan and big, bold COVID relief for people across this country.",retweet,"10 MILLION lost their unemployment benefits today, which they needed in the first place because Trump so completely mismanaged the Covid response that they lost their jobs Ponzi scheme of hope &amp; lies Each day #DopeyDon golfs the number rises I wish I had better news my friends",retweet,BREAKING NEWS: A drunk Lindsey Graham? Breaking up with Trump on the floor of the Senate right now.,retweet,"Wow. Included in Twitter’s statement, explaining why it banned Trump: “Plans for future armed protests have already begun proliferating on and off-Twitter, including a proposed secondary attack on the US Capitol and state capitol buildings on January 17, 2021.”",retweet,People on social media are showing support for black female journalists after a series of offensive comments from Trump this week. via,retweet,Congresswoman Sheila Jackson Lee has introduced Articles of Impeachment against President Donald Trump.​,retweet,"BREAKING: Sources say Trump advisers are prepping for Mueller to deliver the results of his investigation to the DoJ as early as Wednesday. Trump is currently most worried about Donald Trump, Jr. They think he will be indicted shortly. I agree. He should be. #VoteDem. #VoteBlue",retweet,What is this I’m hearing about people not getting their second stimulus if they filed their taxes with TurboTax??? I am panicked about money and this is the LAST thing I need right now,retweet,A new day in America has come. Tune in as Vice President-Elect @KamalaHarris and I address the nation.,retweet,"BREAKING: says former Detroit Mayor Kwame Kilpatrick will be getting out of prison early, thanks to President Donald J. Trump.",retweet,0,,,,,,,,,,
